                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2245,                 2.2682,                 2.4777,                0.32879,                0.32206,                0.19799,                0.06754,                 2.3926,                 2.4374,                 2.9098,              0.0033158,              0.0033158,              0.0033158
                      2,                 1.9861,                 2.2367,                 2.1559,                0.32058,                0.29628,                0.19839,                0.07019,                 2.1931,                 2.5716,                 2.5489,               0.006636,               0.006636,               0.006636
                      3,                 1.9196,                 2.2334,                  2.055,                0.35949,                 0.2929,                0.23927,                0.08763,                 2.1067,                  2.335,                  2.397,              0.0099429,              0.0099429,              0.0099429
                      4,                 1.8861,                 2.2473,                 2.0169,                0.34085,                0.30854,                0.22107,                0.08165,                 2.1277,                 2.4529,                 2.4058,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.861,                 2.2254,                  1.994,                0.41862,                 0.3508,                0.32008,                0.12568,                 2.0545,                  2.201,                 2.3276,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8302,                 2.2028,                 1.9681,                0.40765,                0.34108,                0.30091,                0.11982,                 2.0376,                 2.2038,                  2.263,               0.009901,               0.009901,               0.009901
                      7,                 1.8043,                 2.1521,                 1.9283,                0.42535,                0.35101,                0.31452,                0.12654,                 2.0326,                 2.1899,                 2.2788,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7729,                 2.1177,                 1.9176,                0.45211,                0.37067,                0.35197,                0.14637,                 1.9866,                 2.1332,                 2.2627,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7683,                 2.1033,                 1.9067,                0.49361,                0.38842,                0.37274,                0.15162,                 1.9995,                 2.0814,                 2.2684,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7452,                 2.0595,                 1.8868,                0.48389,                0.39011,                0.38614,                0.16618,                 1.9354,                 2.0496,                 2.2015,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7436,                 2.0595,                 1.8886,                0.51472,                0.37151,                0.38704,                0.16403,                 1.9452,                 2.0594,                 2.1972,               0.009802,               0.009802,               0.009802
                     12,                 1.7139,                 2.0436,                   1.86,                0.52191,                0.37405,                0.39186,                0.16247,                 1.9424,                 2.0299,                 2.1917,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.7101,                 1.9899,                 1.8514,                0.51675,                0.40828,                0.40171,                 0.1726,                  1.936,                 1.9867,                    2.2,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6937,                  2.017,                 1.8461,                0.48486,                 0.4011,                0.39361,                0.17245,                 1.9163,                 1.9916,                 2.1589,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.659,                 1.9532,                 1.8058,                0.49864,                0.42181,                0.39771,                 0.1714,                 1.9451,                 1.9832,                 2.2216,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6625,                 1.9339,                 1.8125,                0.51844,                0.40633,                0.40769,                0.18226,                 1.9129,                 1.9552,                 2.2289,               0.009703,               0.009703,               0.009703
                     17,                  1.657,                 1.9165,                 1.8067,                0.51409,                0.39603,                0.41175,                0.18301,                 1.8894,                 1.9575,                 2.1354,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6367,                 1.9249,                 1.7959,                0.51485,                0.42561,                0.42386,                 0.1923,                 1.8933,                 1.9178,                  2.174,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6503,                 1.9072,                  1.799,                0.52542,                0.43829,                0.43852,                0.19893,                 1.8731,                 1.9217,                 2.1386,              0.0096436,              0.0096436,              0.0096436
                     20,                  1.619,                 1.8728,                 1.7854,                0.54013,                0.40194,                0.42378,                0.19159,                 1.8939,                 1.9187,                 2.1358,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.6327,                 1.8711,                 1.7862,                0.51832,                0.41631,                0.41941,                0.18813,                 1.8957,                   1.93,                 2.1435,               0.009604,               0.009604,               0.009604
                     22,                 1.6206,                 1.8581,                  1.768,                0.51037,                0.39915,                0.41389,                0.18637,                 1.8907,                  1.929,                 2.1212,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.6178,                 1.8275,                 1.7675,                0.53421,                0.41209,                0.42059,                0.18639,                 1.9009,                  1.908,                 2.1662,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.5926,                 1.8111,                 1.7593,                 0.5309,                0.45155,                0.44199,                0.20178,                 1.8746,                 1.8692,                 2.1433,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5764,                 1.7949,                 1.7439,                0.53426,                0.42477,                0.44053,                0.19907,                 1.8906,                 1.8753,                 2.1712,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.5776,                 1.7904,                 1.7418,                0.54271,                0.38673,                0.41179,                0.18548,                 1.8924,                 1.9324,                 2.1285,               0.009505,               0.009505,               0.009505
                     27,                 1.5652,                  1.767,                 1.7263,                0.57129,                 0.4366,                0.44926,                0.20043,                 1.9058,                 1.8486,                 2.1634,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.5616,                 1.7679,                 1.7271,                0.56603,                0.44336,                0.46104,                 0.2102,                  1.867,                 1.8204,                 2.1246,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5538,                 1.7387,                 1.7192,                 0.5267,                0.43195,                0.43606,                0.19897,                 1.8818,                 1.8717,                 2.1469,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5327,                 1.7447,                 1.7126,                  0.551,                0.44844,                0.45358,                0.20912,                 1.8795,                 1.8182,                 2.1331,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.5242,                 1.7053,                 1.6984,                0.53042,                0.42181,                0.43479,                0.19722,                 1.8682,                 1.8834,                 2.1016,               0.009406,               0.009406,               0.009406
                     32,                 1.5261,                 1.7151,                 1.6948,                0.52657,                0.44425,                0.44382,                0.19927,                    1.9,                 1.8337,                 2.1601,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5304,                 1.7056,                 1.6947,                0.55307,                0.42313,                0.43469,                0.20019,                 1.8921,                 1.8709,                 2.1401,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.5023,                 1.6783,                 1.6892,                0.57678,                 0.4552,                0.46975,                0.21102,                 1.8883,                 1.8138,                  2.148,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5135,                 1.6966,                 1.6889,                0.57153,                0.44877,                0.46327,                0.21112,                 1.8526,                 1.8039,                 2.0987,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5081,                 1.6704,                 1.6748,                0.53206,                0.44801,                0.42602,                0.18877,                 1.9563,                 1.8881,                 2.2208,               0.009307,               0.009307,               0.009307
                     37,                 1.5083,                 1.6547,                 1.6749,                 0.5678,                0.43702,                0.45473,                0.20772,                 1.8917,                 1.8305,                 2.1428,              0.0092872,              0.0092872,              0.0092872
                     38,                  1.493,                 1.6424,                 1.6619,                0.53398,                 0.4591,                0.44801,                 0.1973,                 1.9188,                 1.8213,                 2.1932,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.4918,                  1.647,                   1.67,                0.53941,                0.45043,                0.45491,                0.21153,                  1.865,                 1.8253,                 2.0971,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.4724,                 1.6272,                 1.6645,                0.53744,                0.45139,                0.45856,                0.20792,                 1.8855,                 1.8311,                 2.1585,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4643,                 1.6199,                 1.6549,                0.55299,                 0.4738,                0.47121,                0.21544,                 1.8929,                 1.7755,                  2.151,               0.009208,               0.009208,               0.009208
                     42,                 1.4618,                 1.6213,                 1.6498,                0.57107,                0.47844,                0.48885,                0.22472,                 1.8625,                 1.7394,                 2.1266,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.4375,                 1.5745,                 1.6253,                0.54544,                0.47844,                0.47275,                0.21583,                 1.8472,                  1.789,                 2.1129,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4537,                 1.5811,                  1.645,                0.58103,                0.46892,                0.47293,                 0.2198,                 1.8757,                  1.794,                 2.1535,              0.0091486,              0.0091486,              0.0091486
                     45,                  1.437,                  1.575,                  1.631,                0.58849,                0.43579,                0.46202,                0.21227,                 1.8635,                 1.7815,                 2.1362,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.4451,                 1.5633,                 1.6224,                 0.5662,                0.46999,                0.46845,                 0.2142,                 1.8718,                 1.7732,                 2.1164,               0.009109,               0.009109,               0.009109
                     47,                 1.4241,                 1.5272,                 1.6216,                0.58143,                0.48521,                 0.4997,                0.23298,                 1.8509,                 1.7272,                 2.1052,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.4224,                 1.5224,                 1.6157,                0.60196,                 0.4645,                0.48955,                0.22197,                 1.9036,                   1.74,                 2.1758,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4126,                 1.5243,                 1.6032,                0.56524,                0.48436,                  0.475,                0.21874,                 1.9024,                 1.7473,                 2.1559,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4074,                 1.5021,                    1.6,                0.57441,                0.46892,                0.47765,                0.22201,                 1.8624,                 1.7954,                 2.1283,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.4127,                 1.4891,                 1.6002,                0.57316,                0.46577,                 0.4651,                0.21544,                 1.8763,                  1.743,                 2.1531,                0.00901,                0.00901,                0.00901
                     52,                 1.4008,                 1.4844,                 1.5928,                0.60549,                 0.4552,                0.48273,                0.22363,                 1.8667,                 1.7461,                 2.1157,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.3782,                 1.4766,                 1.5838,                0.59125,                0.43745,                0.45887,                0.21046,                 1.8927,                 1.8129,                 2.1519,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3911,                 1.4734,                 1.5901,                 0.5702,                0.48183,                0.47971,                0.21588,                 1.9087,                 1.7203,                 2.1649,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.387,                 1.4727,                 1.5843,                0.53704,                0.48056,                0.46793,                0.21315,                 1.8788,                 1.7501,                 2.1413,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.3765,                 1.4613,                 1.5765,                 0.5769,                0.46112,                0.47994,                0.22536,                  1.857,                 1.7538,                 2.1245,               0.008911,               0.008911,               0.008911
                     57,                 1.3639,                 1.4339,                 1.5633,                0.58139,                0.45773,                0.47158,                0.21661,                 1.8842,                 1.7489,                 2.1475,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.3745,                 1.4405,                 1.5698,                0.56588,                0.47591,                0.47342,                0.21598,                 1.8864,                 1.7259,                 2.1466,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.3742,                  1.452,                 1.5549,                0.57973,                0.46112,                0.47466,                0.21422,                 1.9167,                 1.7486,                  2.152,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.3373,                 1.4079,                 1.5433,                 0.5687,                0.46872,                0.47338,                 0.2173,                 1.9054,                 1.7676,                  2.184,              0.0088318,              0.0088318,              0.0088318
                     61,                  1.347,                 1.4088,                 1.5476,                0.60153,                 0.4594,                0.47752,                0.21862,                 1.9116,                 1.7208,                 2.1867,               0.008812,               0.008812,               0.008812
                     62,                 1.3537,                 1.3876,                 1.5473,                0.57173,                0.47844,                0.47345,                0.21826,                 1.8808,                 1.7285,                 2.1343,              0.0087922,              0.0087922,              0.0087922
                     63,                  1.338,                 1.4004,                 1.5489,                0.58276,                0.48986,                0.49569,                0.23091,                 1.8844,                 1.7079,                 2.1551,              0.0087724,              0.0087724,              0.0087724
